,filename,Invoice_no,Invoice_date,Vendor_name,Product_model,Qty,Unit_price,Item_total,Invoice_total,Currency,Confidence,low_conf_fields
418,SHXX-D210911.pdf,SHXX-D210911,15/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SJ-K75X-SL2,100,54.21,5421,30683.21,$,0.925375,
419,SHXX-D210911.pdf,SHXX-D210911,15/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SJ-K135X-SL3,125,67.77,8471.25,30683.21,$,0.926625,
420,SHXX-D210911.pdf,SHXX-D210911,15/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SJ-K155X-SL2
BC122",116,79.06,9170.96,30683.21,$,0.8635,Product Model
421,SHXX-D210911.pdf,SHXX-D210911,15/09/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",OCEAN FREIGHT,1,7620,7620,30683.21,$,0.929,
422,SHXX-M220128.pdf,SHXX-M220128,26/01/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K400X-WH3
BD282JA",19,126.73,2407.87,53612.52,$,0.92525,
423,SHXX-M220128.pdf,SHXX-M220128,26/01/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K400XL-WH2
BD282GA",87,132.47,11524.89,53612.52,$,0.927375,
424,SHXX-M220128.pdf,SHXX-M220128,26/01/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K490X-WH3
BD355JA",80,160.57,12845.6,53612.52,$,0.92675,
425,SHXX-M220128.pdf,SHXX-M220128,26/01/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K580X-WH3
BD-445JA",30,194.97,5849.1,53612.52,$,0.92725,
426,SHXX-M220128.pdf,SHXX-M220128,26/01/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K580XL-WH2
BD445GA",35,206.44,7225.4,53612.52,$,0.955625,
427,SHXX-M220128.pdf,SHXX-M220128,26/01/22,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K660X-WH3
BD505JS",62,221.93,13759.66,53612.52,$,0.925125,
428,SHXX-S211130A.pdf,SHXX-S211130A,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SJ-K75X-SL3
BC47",120,54.21,6505.2,49377.98,$,0.922375,
429,SHXX-S211130A.pdf,SHXX-S211130A,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SJ-K135X-SL3
BC90",100,67.77,6777,49377.98,$,0.953875,
430,SHXX-S211130A.pdf,SHXX-S211130A,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K190XL-WH2
BD142GA",49,96.34,4720.66,49377.98,$,0.924375,
431,SHXX-S211130A.pdf,SHXX-S211130A,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K250XL-WH2
BD192GA",80,110.1,8808,49377.98,$,0.925375,
432,SHXX-S211130A.pdf,SHXX-S211130A,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K320X-WH3
BD232JA",5,111.25,556.25,49377.98,$,0.954125,
433,SHXX-S211130A.pdf,SHXX-S211130A,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K320XL-WH2
BD232GA",65,116.98,7603.7,49377.98,$,0.9235,
434,SHXX-S211130A.pdf,SHXX-S211130A,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K400X-WH3
BD282JA",50,126.73,6336.5,49377.98,$,0.954,
